rank,relevance_score,skim_tier,cluster,title,year,authors,venue,type,doi,openalex_id,cited_by_count,query_sources,concepts,keywords,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,extraction_confidence,abstract
512,76.055,landscape_sweep,task and motion planning,Benchmarking and optimization of robot motion planning with motion planning pipeline,2021,Shuai Liu; Pengcheng Liu,The International Journal of Advanced Manufacturing Technology,article,https://doi.org/10.1007/s00170-021-07985-5,https://openalex.org/W3199632056,34,robot manipulation reachable workspace clutter|task and motion planning mobile manipulation clutter,Motion planning; Computer science; Benchmarking; Pipeline (software); Computer vision; Optimization problem; Artificial intelligence; Robot; Mathematical optimization; Algorithm; Mathematics; Marketing,Motion planning; Computer science; Benchmarking; Pipeline (software); Computer vision; Optimization problem; Artificial intelligence; Robot; Mathematical optimization; Algorithm,Compose symbolic action choices with continuous geometric feasibility.,A sampling or optimization planner for continuous robot motion.,symbolic predicates are stable under geometric context changes; continuous feasibility checks do not change the meaning of an affordance predicate,predicate vocabulary; low-level controllers; scene object identities,predicate drift under clutter/base changes; expensive replanning; brittle discretization,calling geometric feasibility checks from symbolic plans,a learned predicate whose conserved component is explicit and auditable,abstract-level,"Abstract Algorithms have been designed for robot motion planning with various adaptability to different problems. However, how to choose the most suitable planner in a scene has always been a problem worthy of research. This paper aims to find the most suitable motion planner for each query under three different scenes and six different queries. The work lies in optimization of sampling-based motion planning algorithms through motion planning pipeline and planning request adapter. The idea is to use the pre-processing of the planning request adapter, to run OMPL as a pre-processer for the optimized CHOMP or STOMP algorithm, and connect through the motion planning pipeline, to realize the optimization of the motion trajectory. The optimized trajectories are compared with original trajectories through benchmarking. The benchmarking determines the most suitable motion planning algorithm for different scenarios and different queries. Experimental results show that after optimization, the planning time of the algorithm is longer, but the efficiency is significantly improved. In the low-complexity scenes, STOMP optimizes the sampling algorithm very well, improves the trajectory quality greatly, and has a higher success rate. CHOMP also has a good optimization of the sampling algorithm, but it reduces the success rate of the original algorithm. However, in more complex scenes, optimization performance of the two optimization methods may not be as good as the original algorithm. In future work, we need to find better algorithms and better optimization algorithms to tackle with com..."
513,76.022,landscape_sweep,mobile manipulation and base placement,Robotics in Health Care: Perspectives of Robot-Aided Interventions in Clinical Practice for Rehabilitation of Upper Limbs,2019,Edwin Daniel Oña; Juan Miguel García-Haro; Alberto Jardón; Carlos Balaguer,Applied Sciences,article,https://doi.org/10.3390/app9132586,https://openalex.org/W2953876427,91,3D affordance perception robotic manipulation|cognitive robotics affordance manipulation|object affordance robot grasping manipulation|robot affordance mobile manipulation|robot contact affordance manipulation|visual affordance learning robotics manipulation,Safeguarding; Robot; Rehabilitation; Rehabilitation robotics; Robotics; Clinical Practice; Human–computer interaction; Health care; Computer science; Adaptation (eye); Artificial intelligence; Physical medicine and rehabilitation,Safeguarding; Robot; Rehabilitation; Rehabilitation robotics; Robotics; Clinical Practice; Human–computer interaction; Health care; Computer science; Adaptation (eye),Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"Robot-aided systems to support the physical rehabilitation of individuals with neurological impairment is one of the fields that has been widely developed in the last few decades. However, the adoption of these systems in clinical practice remains limited. In order to better understanding the causes of this limitation, a systematic review of robot-based systems focused on upper extremity rehabilitation is presented in this paper. A systematic search and review of related articles in the literature were conducted. The chosen works were analyzed according to the type of device, the data analysis capability, the therapy method, the human–robot interaction, the safety strategies, and the focus of treatment. As a conclusion, self-adaptation for personalizing the treatments, safeguarding and enhancing of patient–robot interaction towards training essential factors of movement generation into the same paradigm, or the use of lifelike environments in fully-immersive virtual reality for increasing the assimilation of motor gains could be relevant factors to develop more accepted robot-aided systems in clinical practice."
514,75.985,landscape_sweep,mobile manipulation and base placement,Smart Perception for Situation Awareness in Robotic Manipulation Tasks,2024,Oriol Ruiz-Celada; Albert Dalmases; Isiah Zaplana; Jan Rosell,IEEE Access,article,https://doi.org/10.1109/access.2024.3389091,https://openalex.org/W4394828217,11,mobile manipulation task planning base placement|robot manipulation reachable workspace clutter|task and motion planning mobile manipulation clutter,Computer science; Human–computer interaction; Perception; Situation awareness; Artificial intelligence; Psychology; Engineering; Aerospace engineering; Neuroscience,Computer science; Human–computer interaction; Perception; Situation awareness; Artificial intelligence; Psychology; Engineering,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"Robotic manipulation in semi-structured environments require perception, planning and execution capabilities to be robust to deviations and adaptive to changes, and knowledge representation and reasoning may play a role in this direction in order to make robots aware of the situations, of the planning domains and of their own execution structures. This paper proposes an approach aimed at enhancing the perception capabilities of robotic systems through the integration of various technologies. In particular, the novelties of the proposed smart perception module include the combination of visual sensor data, object detection, and pose estimation techniques, leveraging a fiducial markers and deep learning-based methods, being able to integrate multiple sensors and perception pipelines. In addition, reasoning capabilities are introduced through the utilization of ontologies. The result is a robust and smart perception system capable of handling both simulated and real-world scenarios which in turn provides the required functionalities to allow the robot to understand its surroundings, with a primary focus on robotic manipulation tasks. The discussion on the tools used and the key implementation details are included, as well as the results in some simulated and real scenarios that validate the proposal as a module that provides situation awareness to allow a manipulation framework to adapt the robot actions to uncertain and changing scenarios."
515,75.946,landscape_sweep,grasp/contact manipulation,Learning Pre-Grasp Manipulation of Flat Objects in Cluttered Environments using Sliding Primitives,2023,Jiaxi Wu; Haoran Wu; Shanlin Zhong; Quqin Sun; Yinlin Li,,article,https://doi.org/10.1109/icra48891.2023.10160869,https://openalex.org/W4383108592,6,robot manipulation in clutter rearrangement|robot object rearrangement clutter manipulation,GRASP; Computer science; Table (database); Artificial intelligence; Grippers; Object (grammar); Robot; Reinforcement learning; Task (project management); Process (computing); Computer vision; Action (physics),GRASP; Computer science; Table (database); Artificial intelligence; Grippers; Object (grammar); Robot; Reinforcement learning; Task (project management); Process (computing),Address a robotics or AI problem related to Learning Pre-Grasp Manipulation of Flat Objects in Cluttered Environments using Sliding P....,A learned policy/value mechanism optimized from rewards or interaction data.,task labels remain meaningful across the deployment contexts considered,candidate contacts; gripper model; local surface geometry,graspability does not imply task affordance; unseen base approach directions,broad robotics motivation and related empirical settings,task-level conservation beyond local grasp/contact scores,abstract-level,"Flat objects with negligible thicknesses like books and disks are challenging to be grasped by the robot because of the width limit of the robot's gripper, especially when they are in cluttered environments. Pre-grasp manipulation is conducive to rearranging objects on the table and moving the flat objects to the table edge, making them graspable. In this paper, we formulate this task as Parameterized Action Markov Decision Process, and a novel method based on deep reinforcement learning is proposed to address this problem by introducing sliding primitives as actions. A weight-sharing policy network is utilized to predict the sliding primitive's parameters for each object, and a Q-network is adopted to select the acted object among all the candidates on the table. Meanwhile, via integrating a curriculum learning scheme, our method can be scaled to cluttered environments with more objects. In both simulation and real-world experiments, our method surpasses the existing methods and achieves pre-grasp manipulation with higher task success rates and fewer action steps. Without fine-tuning, it can be generalized to novel shapes and household objects with more than 85% success rates in the real world. Videos and supplementary materials are available at https://sites.google.com/view/pre-grasp-sliding."
516,75.86,landscape_sweep,robot affordance learning,Service robots in hospitals: new perspectives on niche evolution and technology affordances,2017,Tobias Mettler; Michaela Sprenger; Robert Winter,European Journal of Information Systems,article,https://doi.org/10.1057/s41303-017-0046-1,https://openalex.org/W2602050702,128,spatial affordance prediction robotics,Affordance; Adaptation (eye); Knowledge management; Robot; Appropriation; Service (business); Computer science; Health care; Process management; Human–computer interaction; Business; Psychology,Affordance; Adaptation (eye); Knowledge management; Robot; Appropriation; Service (business); Computer science; Health care; Process management; Human–computer interaction,Predict or learn where and how a robot can act on objects or parts from perception.,"A perception-to-affordance predictor trained from demonstrations, labels, or interaction.",affordance labels are object/part properties rather than censored access observations; base pose and clutter variation are covered by training data or can be ignored,robot morphology; base pose distribution; clutter process; action primitive frame,confusing inaccessible views with non-affordant parts; spurious base/clutter correlations,generic affordance prediction from perception,whether a failed affordance observation is intrinsic or only base/clutter-censored,abstract-level,"Changing demands in society and the limited capabilities of health systems have paved the way for robots to move out of industrial contexts and enter more human-centered environments such as health care. We explore the shared beliefs and concerns of health workers on the introduction of autonomously operating service robots in hospitals or professional care facilities. By means of Q-methodology, a mixed research approach specifically designed for studying subjective thought patterns, we identify five potential end-user niches, each of which perceives different affordances and outcomes from using service robots in their working environment. Our findings allow for better understanding resistance and susceptibility of different users in a hospital and encourage managerial awareness of varying demands, needs, and surrounding conditions that a service robot must contend with. We also discuss general insights into presenting the Q-methodology results and how an affordance-based view could inform the adoption, appropriation, and adaptation of emerging technologies."
517,75.82,landscape_sweep,task and motion planning,A Fault-Tolerant Method for Motion Planning of Industrial Redundant Manipulator,2019,Zhan Li; Chunxu Li; Shuai Li; Xinwei Cao,IEEE Transactions on Industrial Informatics,article,https://doi.org/10.1109/tii.2019.2957186,https://openalex.org/W2993058161,123,whole body planning mobile manipulator manipulation,Motion planning; Fault tolerance; Redundancy (engineering); Control theory (sociology); Fault (geology); Mobile manipulator; Manipulator (device); Control engineering; Engineering; Welding; Work (physics); Computer science,Motion planning; Fault tolerance; Redundancy (engineering); Control theory (sociology); Fault (geology); Mobile manipulator; Manipulator (device); Control engineering; Engineering; Welding,Compose symbolic action choices with continuous geometric feasibility.,A task-and-motion planning interface between discrete actions and continuous feasibility.,symbolic predicates are stable under geometric context changes; continuous feasibility checks do not change the meaning of an affordance predicate,predicate vocabulary; low-level controllers; scene object identities,predicate drift under clutter/base changes; expensive replanning; brittle discretization,calling geometric feasibility checks from symbolic plans,a learned predicate whose conserved component is explicit and auditable,abstract-level,"Nowadays, industrial redundant manipulators have been playing important roles in manufacturing fields, such as welding and assembling, by performing repetitive and dull work. Such long-term industrial operations usually require redundant manipulators to keep good working conditions and maintain steadiness of joint actuation. However, some joints of redundant manipulators may fall into fault status after enduring long-period heavy manipulations, causing that the desired industrial tasks cannot be accomplished accurately. In this article, we propose a novel fault-tolerant method with simultaneous fault-diagnose function for motion planning and control of industrial redundant manipulators. The proposed approach is able to adaptively localize which joints run away from the normal state to be fault, and it can guarantee to finish the desired path tracking control even when these fault joints lose their velocity to actuate. Simulation and experiment results on a Kuka LBR iiwa manipulator demonstrate the efficiency of the proposed fault-tolerant method for motion control of the redundant manipulator."
518,75.758,landscape_sweep,task and motion planning,The Franka Emika Robot: A Standard Platform in Robotics Research [Survey],2024,Sami Haddadin,IEEE Robotics & Automation Magazine,article,https://doi.org/10.1109/mra.2024.3451788,https://openalex.org/W4402822608,25,affordance learning robotic manipulation,Robotics; Artificial intelligence; Robot; Computer science; Medical robotics; Engineering; Computer vision; Human–computer interaction,Robotics; Artificial intelligence; Robot; Computer science; Medical robotics; Engineering; Computer vision; Human–computer interaction,Compose symbolic action choices with continuous geometric feasibility.,A task-and-motion planning interface between discrete actions and continuous feasibility.,symbolic predicates are stable under geometric context changes; continuous feasibility checks do not change the meaning of an affordance predicate,predicate vocabulary; low-level controllers; scene object identities,predicate drift under clutter/base changes; expensive replanning; brittle discretization,calling geometric feasibility checks from symbolic plans,a learned predicate whose conserved component is explicit and auditable,abstract-level,"Over the last decade, industrial robots have evolved from well-established position-controlled systems to collaborative and soft robots. In 2017 we introduced the tactile lightweight robot system Franka Emika Robot, characterized by advanced safety control, force sensing, joint torque and force control, hand-guiding performance, and the novel tactile programming paradigm DESK. In the meantime, the system has become a well-adopted reference platform for robotics research in AI and machine learning, manipulation, control, humanrobot interaction, and motion planning. It features multiple functional and widely used interfaces, including 1 kHz realtime joint torque control access or precise kinematic and dynamic models. Furthermore, it became a crystallization point of a research ecosystem since the system’s affordability further lowered the entrance barrier to high-performance joint torquecontrolled robots. In this article, a quantitative analysis and discussion of the use of the system in worldwide research labs over the last five years, its impact on the creation of a compatible software ecosystem, and examples of milestone experiments made possible with the robot are given. The robotics community benefits from understanding the comprehensive analysis of the Franka Emika robot (Panda, FR-3, FP-3) as it provides a clear view on current capabilities and usage, sets a benchmark for future developments, and offers a rich source of inspiration and learning for ongoing and future projects in robotics."
519,75.697,landscape_sweep,grasp/contact manipulation,Haptic Exploration of Unknown Objects for Robust In-Hand Manipulation,2023,Gökhan Solak; Lorenzo Jamone,IEEE Transactions on Haptics,article,https://doi.org/10.1109/toh.2023.3300439,https://openalex.org/W4385444753,8,dexterous manipulation affordance learning,GRASP; Computer science; Haptic technology; Artificial intelligence; Computer vision; Robustness (evolution); Trajectory; Robot; Object (grammar); Flexibility (engineering); Grippers; Motion (physics),GRASP; Computer science; Haptic technology; Artificial intelligence; Computer vision; Robustness (evolution); Trajectory; Robot; Object (grammar); Flexibility (engineering),Address a robotics or AI problem related to Haptic Exploration of Unknown Objects for Robust In-Hand Manipulation.,"A domain-specific model, planner, or learned predictor described by the paper.",task labels remain meaningful across the deployment contexts considered,candidate contacts; gripper model; local surface geometry,graspability does not imply task affordance; unseen base approach directions,broad robotics motivation and related empirical settings,task-level conservation beyond local grasp/contact scores,abstract-level,"Human-like robot hands provide the flexibility to manipulate a variety of objects that are found in unstructured environments. Knowledge of object properties and motion trajectory is required, but often not available in real-world manipulation tasks. Although it is possible to grasp and manipulate unknown objects, an uninformed grasp leads to inferior stability, accuracy, and repeatability of the manipulation. Therefore, a central challenge of in-hand manipulation in unstructured environments is to acquire this information safely and efficiently. We propose an in-hand manipulation framework that does not assume any prior information about the object and the motion, but instead extracts the object properties through a novel haptic exploration procedure and learns the motion from demonstration using dynamical movement primitives. We evaluate our approach by unknown object manipulation experiments using a human-like robot hand. The results show that haptic exploration improves the manipulation robustness and accuracy significantly, compared to the virtual spring framework baseline method that is widely used for grasping unknown objects."
520,75.639,landscape_sweep,mobile manipulation and base placement,Polarimetric Imaging for Robot Perception: A Review,2024,Camille Taglione; Carlos M. Mateo; Christophe Stolz,Sensors,review,https://doi.org/10.3390/s24144440,https://openalex.org/W4400446672,13,3D affordance perception robotic manipulation|scene graph affordance robot manipulation,Polarimetry; Robotics; Artificial intelligence; Computer science; Robot; Computer vision; Human–computer interaction; Systems engineering; Engineering; Physics; Optics; Scattering,Polarimetry; Robotics; Artificial intelligence; Computer science; Robot; Computer vision; Human–computer interaction; Systems engineering; Engineering; Physics,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"In recent years, the integration of polarimetric imaging into robotic perception systems has increased significantly, driven by the accessibility of affordable polarimetric sensors. This technology complements traditional color imaging by capturing and analyzing the polarization characteristics of light. This additional information provides robots with valuable insights into object shape, material composition, and other properties, ultimately enabling more robust manipulation tasks. This review aims to provide a comprehensive analysis of the principles behind polarimetric imaging and its diverse applications within the field of robotic perception. By exploiting the polarization state of light, polarimetric imaging offers promising solutions to three key challenges in robot vision: Surface segmentation; depth estimation through polarization patterns; and 3D reconstruction using polarimetric data. This review emphasizes the practical value of polarimetric imaging in robotics by demonstrating its effectiveness in addressing real-world challenges. We then explore potential applications of this technology not only within the core robotics field but also in related areas. Through a comparative analysis, our goal is to elucidate the strengths and limitations of polarimetric imaging techniques. This analysis will contribute to a deeper understanding of its broad applicability across various domains within and beyond robotics."
521,75.579,landscape_sweep,robot affordance learning,Object Affordance-Based Implicit Interaction for Wheelchair-Mounted Robotic Arm Using a Laser Pointer,2023,Yaxin Liu; Yan Liu; Yufeng Yao; Ming Zhong,Sensors,article,https://doi.org/10.3390/s23094477,https://openalex.org/W4376630280,7,scene graph affordance robot manipulation,Laser pointer; Affordance; Computer science; Pointer (user interface); Human–computer interaction; Task (project management); Artificial intelligence; Wheelchair; Computer vision; Engineering; Laser; Optics,Laser pointer; Affordance; Computer science; Pointer (user interface); Human–computer interaction; Task (project management); Artificial intelligence; Wheelchair; Computer vision; Engineering,Predict or learn where and how a robot can act on objects or parts from perception.,"A perception-to-affordance predictor trained from demonstrations, labels, or interaction.",affordance labels are object/part properties rather than censored access observations; base pose and clutter variation are covered by training data or can be ignored,robot morphology; base pose distribution; clutter process; action primitive frame,confusing inaccessible views with non-affordant parts; spurious base/clutter correlations,generic affordance prediction from perception,whether a failed affordance observation is intrinsic or only base/clutter-censored,abstract-level,"With the growth of the world's population, limited healthcare resources cannot provide adequate nursing services for all people in need. The wheelchair-mounted robotic arm (WMRA) with interactive technology could help to improve users' self-care ability and relieve nursing stress. However, the users struggle to control the WMRA due to complex operations. To use the WMRA with less burden, this paper proposes an object affordance-based implicit interaction technology using a laser pointer. Firstly, a laser semantic identification algorithm combined with the YOLOv4 and the support vector machine (SVM) is designed to identify laser semantics. Then, an implicit action intention reasoning algorithm, based on the concept of object affordance, is explored to infer users' intentions and learn their preferences. For the purpose of performing the actions about task intention in the scene, the dynamic movement primitives (DMP) and the finite state mechanism (FSM) are respectively used to generalize the trajectories of actions and reorder the sequence of actions in the template library. In the end, we verified the feasibility of the proposed technology on a WMRA platform. Compared with the previous method, the proposed technology can output the desired intention faster and significantly reduce the user's limb involvement time (about 85%) in operating the WMRA under the same task."
522,75.533,landscape_sweep,robot foundation/vision-language manipulation,ChatGPT Empowered Long-Step Robot Control in Various Environments: A Case Application,2023,Naoki Wake; Atsushi Kanehira; Kazuhiro Sasabuchi; Jun Takamatsu; Katsushi Ikeuchi,IEEE Access,article,https://doi.org/10.1109/access.2023.3310935,https://openalex.org/W4386320380,92,action precondition learning robot manipulation|cognitive robotics affordance manipulation|language conditioned robot manipulation affordance|object affordance robot grasping manipulation|robot contact affordance manipulation|robot foundation model manipulation affordance|scene graph affordance robot manipulation|visual affordance learning robotics manipulation,Computer science; Task (project management); Executable; Robot; Human–computer interaction; Correctness; Artificial intelligence; Robotics; Plan (archaeology); Natural language; Programming language; Economics,Computer science; Task (project management); Executable; Robot; Human–computer interaction; Correctness; Artificial intelligence; Robotics; Plan (archaeology); Natural language,Use broad multimodal representations to condition robot manipulation behavior.,"A domain-specific model, planner, or learned predictor described by the paper.",task labels remain meaningful across the deployment contexts considered,dataset distribution; robot embodiment; task definition,"distribution shift, unmodeled geometry, and embodiment mismatch",using broad pretrained representations for robot actions,a mechanism-level account of conserved affordance under mobile manipulation context shift,abstract-level,"This paper introduces a novel method for translating natural-language instructions into executable robot actions using OpenAI’s ChatGPT in a few-shot setting. We propose customizable input prompts for ChatGPT that can easily integrate with robot execution systems or visual recognition programs, adapt to various environments, and create multi-step task plans while mitigating the impact of token limit imposed on ChatGPT. In our approach, ChatGPT receives both instructions and textual environmental data, and outputs a task plan and an updated environment. These environmental data are reused in subsequent task planning, thus eliminating the extensive record-keeping of prior task plans within the prompts of ChatGPT. Experimental results demonstrated the effectiveness of these prompts across various domestic environments, such as manipulations in front of a shelf, a fridge, and a drawer. The conversational capability of ChatGPT allows users to adjust the output via natural-language feedback. Additionally, a quantitative evaluation using VirtualHome showed that our results are comparable to previous studies. Specifically, 36% of task planning met both executability and correctness, and the rate approached 100% after several rounds of feedback. Our experiments revealed that ChatGPT can reasonably plan tasks and estimate post-operation environments without actual experience in object manipulation. Despite the allure of ChatGPT-based task planning in robotics, a standardized methodology remains elusive, making our work a substantial contribution. These prompts can serve as customiza..."
523,75.434,landscape_sweep,robot affordance learning,Affordance based word-to-meaning association,2009,Veljko Krunic; Giampiero Salvi; Alexandre Bernardino; Luis Montesano; José Santos-Victor,,article,https://doi.org/10.1109/robot.2009.5152306,https://openalex.org/W2158329300,30,affordance learning robotic manipulation,Affordance; Meaning (existential); Computer science; Task (project management); Context (archaeology); Perception; Word (group theory); Association (psychology); Robot; Process (computing); Natural language processing; Semantics (computer science),Affordance; Meaning (existential); Computer science; Task (project management); Context (archaeology); Perception; Word (group theory); Association (psychology); Robot; Process (computing),Predict or learn where and how a robot can act on objects or parts from perception.,"A perception-to-affordance predictor trained from demonstrations, labels, or interaction.",affordance labels are object/part properties rather than censored access observations; base pose and clutter variation are covered by training data or can be ignored,robot morphology; base pose distribution; clutter process; action primitive frame,confusing inaccessible views with non-affordant parts; spurious base/clutter correlations,generic affordance prediction from perception,whether a failed affordance observation is intrinsic or only base/clutter-censored,abstract-level,"This paper presents a method to associate meanings to words in manipulation tasks. We base our model on an affordance network, i.e., a mapping between robot actions, robot perceptions and the perceived effects of these actions upon objects. We extend the affordance model to incorporate words. Using verbal descriptions of a task, the model uses temporal co-occurrence to create links between speech utterances and the involved objects, actions and effects. We show that the robot is able form useful word-to-meaning associations, even without considering grammatical structure in the learning process and in the presence of recognition errors. These word-to-meaning associations are embedded in the robot's own understanding of its actions. Thus they can be directly used to instruct the robot to perform tasks and also allow to incorporate context in the speech recognition task."
524,75.401,landscape_sweep,grasp/contact manipulation,Learning Actions from Human Demonstration Video for Robotic Manipulation,2019,Shuo Yang; Wei Zhang; Weizhi Lu; Hesheng Wang; Yibin Li,,article,https://doi.org/10.1109/iros40897.2019.8968278,https://openalex.org/W3004383953,29,learning action models robot manipulation,Closed captioning; GRASP; Computer science; Artificial intelligence; Focus (optics); Computer vision; Frame (networking); Object (grammar); Robotic arm; Deep learning; Human–computer interaction; Image (mathematics),Closed captioning; GRASP; Computer science; Artificial intelligence; Focus (optics); Computer vision; Frame (networking); Object (grammar); Robotic arm; Deep learning,Address a robotics or AI problem related to Learning Actions from Human Demonstration Video for Robotic Manipulation.,"A domain-specific model, planner, or learned predictor described by the paper.",task labels remain meaningful across the deployment contexts considered,candidate contacts; gripper model; local surface geometry,graspability does not imply task affordance; unseen base approach directions,broad robotics motivation and related empirical settings,task-level conservation beyond local grasp/contact scores,abstract-level,"Learning actions from human demonstration is an emerging trend for designing intelligent robotic systems, which can be referred as video to command. The performance of such approach highly relies on the quality of video captioning. However, the general video captioning methods focus more on the understanding of the full frame, lacking of consideration on the specific object of interests in robotic manipulations. We propose a novel deep model to learn actions from human demonstration video for robotic manipulation. It consists of two deep networks, grasp detection network (GNet) and video captioning network (CNet). GNet performs two functions: providing grasp solutions and extracting the local features for the object of interests in robotic manipulation. CNet outputs the captioning results by fusing the features of both full frames and local objects. Experimental results on UR5 robotic arm show that our method could produce more accurate command from video demonstration than state-of-the-art work, thereby leading to more robust grasping performance."
525,75.273,landscape_sweep,robot affordance learning,<i>Humanoid</i> infers Archimedes' principle: understanding physical relations and object affordances through cumulative learning experiences,2016,Ajaz Ahmad Bhat; Vishwanathan Mohan; Giulio Sandini; Pietro Morasso,Journal of The Royal Society Interface,article,https://doi.org/10.1098/rsif.2016.0310,https://openalex.org/W2484076175,15,articulated object affordance robot manipulation|dexterous manipulation affordance learning,Affordance; Computer science; Context (archaeology); Anticipation (artificial intelligence); Abstraction; Forgetting; Artificial intelligence; Task (project management); Humanoid robot; Object (grammar); Embodied cognition; Cognitive science,Affordance; Computer science; Context (archaeology); Anticipation (artificial intelligence); Abstraction; Forgetting; Artificial intelligence; Task (project management); Humanoid robot; Object (grammar),Predict or learn where and how a robot can act on objects or parts from perception.,"A perception-to-affordance predictor trained from demonstrations, labels, or interaction.",affordance labels are object/part properties rather than censored access observations; base pose and clutter variation are covered by training data or can be ignored,robot morphology; base pose distribution; clutter process; action primitive frame,confusing inaccessible views with non-affordant parts; spurious base/clutter correlations,generic affordance prediction from perception,whether a failed affordance observation is intrinsic or only base/clutter-censored,abstract-level,"Emerging studies indicate that several species such as corvids, apes and children solve 'The Crow and the Pitcher' task (from Aesop's Fables) in diverse conditions. Hidden beneath this fascinating paradigm is a fundamental question: by cumulatively interacting with different objects, how can an agent abstract the underlying cause-effect relations to predict and creatively exploit potential affordances of novel objects in the context of sought goals? Re-enacting this Aesop's Fable task on a humanoid within an open-ended 'learning-prediction-abstraction' loop, we address this problem and (i) present a brain-guided neural framework that emulates rapid one-shot encoding of ongoing experiences into a long-term memory and (ii) propose four task-agnostic learning rules (elimination, growth, uncertainty and status quo) that correlate predictions from remembered past experiences with the unfolding present situation to gradually abstract the underlying causal relations. Driven by the proposed architecture, the ensuing robot behaviours illustrated causal learning and anticipation similar to natural agents. Results further demonstrate that by cumulatively interacting with few objects, the predictions of the robot in case of novel objects converge close to the physical law, i.e. the Archimedes principle: this being independent of both the objects explored during learning and the order of their cumulative exploration."
526,75.273,landscape_sweep,robot foundation/vision-language manipulation,RoboSpatial: Teaching Spatial Understanding to 2D and 3D Vision-Language Models for Robotics,2025,Chan Hee Song; Valts Blukis; Jonathan Tremblay; Stephen Tyree; Yu Su; Stan Birchfield,,article,https://doi.org/10.1109/cvpr52734.2025.01470,https://openalex.org/W4413145013,15,spatial affordance prediction robotics,Artificial intelligence; Robotics; Computer science; Computer vision; Human–computer interaction; Robot,Artificial intelligence; Robotics; Computer science; Computer vision; Human–computer interaction; Robot,Use broad multimodal representations to condition robot manipulation behavior.,A large learned representation or transformer-conditioned manipulation module.,task labels remain meaningful across the deployment contexts considered,dataset distribution; robot embodiment; task definition,"distribution shift, unmodeled geometry, and embodiment mismatch",using broad pretrained representations for robot actions,a mechanism-level account of conserved affordance under mobile manipulation context shift,abstract-level,"Spatial understanding is a crucial capability that enables robots to perceive their surroundings, reason about their environment, and interact with it meaningfully. In modern robotics, these capabilities are increasingly provided by vision-language models. However, these models face significant challenges in spatial reasoning tasks, as their training data are based on general-purpose image datasets that often lack sophisticated spatial understanding. For example, datasets frequently do not capture reference frame comprehension, yet effective spatial reasoning requires understanding whether to reason from ego-, world-, or object-centric perspectives. To address this issue, we introduce RoboSpatial, a large-scale dataset for spatial understanding in robotics. It consists of real indoor and tabletop scenes, captured as 3D scans and egocentric images, and annotated with rich spatial information relevant to robotics. The dataset includes 1M images, 5k 3D scans, and 3M annotated spatial relationships, and the pairing of 2D egocentric images with 3D scans makes it both 2D- and 3D- ready. Our experiments show that models trained with RoboSpatial outperform baselines on downstream tasks such as spatial affordance prediction, spatial relationship prediction, and robotics manipulation."
